customer_id,customer_name,email,city,state,country,signup_date,customer_segment
1,Timothy Jones,mitchelljon@cruz.com,South Thomas,Montana,India,2023-07-17,Small Business
2,Rachel Ortega,jmorris@bean-ellis.net,Chandlerville,Maryland,India,2024-05-10,Consumer
3,Hannah Hicks,jonesfrank@hotmail.com,Gonzalezhaven,South Dakota,India,2025-09-17,Consumer
4,Jennifer Parker,jamesmichael@hotmail.com,Port Patrickside,South Carolina,India,2026-02-12,Small Business
5,Bruce Arnold,unovak@king-hobbs.com,North Dylan,Minnesota,India,2024-07-04,Corporate
6,Melissa Obrien,williamsmariah@yahoo.com,Carlachester,Kentucky,India,2024-05-27,Consumer
7,Eric Wheeler,jeffersonjessica@hotmail.com,New Annechester,Maine,India,2023-09-01,Consumer
8,Mr. Glenn Estes,nicolefloyd@curtis-carr.com,Scotttown,Vermont,India,2025-07-17,Consumer
9,Connie Smith,jonathannguyen@george.info,East Christopherborough,Connecticut,India,2023-12-07,Small Business
10,Jessica Miller,wilsoncynthia@martin.com,Port Samuel,Ohio,India,2024-03-01,Consumer
11,Kevin Wall,abray@harrington-griffith.com,Lake Ashley,Iowa,India,2024-06-08,Small Business
12,Jesse Stuart,dmorse@gmail.com,Sharonville,Wisconsin,India,2024-07-07,Small Business
13,Anna Thomas,oyork@morales.info,Kimport,North Carolina,India,2024-03-04,Small Business
14,Carolyn Chavez,mistydonovan@ramirez-cooper.com,Toddfort,Hawaii,India,2025-02-28,Consumer
15,Barbara Harmon,jocelynbarker@green.com,Matthewbury,Delaware,India,2026-05-23,Small Business
16,Steve Ramirez,collinsjodi@hotmail.com,West Alexandra,Kansas,India,2025-04-14,Corporate
17,Amber Silva,whogan@martin.com,Campbellville,Indiana,India,2025-05-25,Consumer
18,Robin Schaefer,jennifer78@hotmail.com,North Michaelmouth,Colorado,India,2025-10-06,Consumer
19,Angela Romero,katherine80@hotmail.com,Masonport,Nevada,India,2025-01-02,Consumer
20,Mark Davis,michaelross@johnson.biz,New Melissa,Iowa,India,2023-06-28,Consumer
21,David Ellis,jeremy01@williams-rowe.net,East Robinshire,Oregon,India,2023-08-09,Consumer
22,Susan Sparks,yparker@foster-lloyd.info,North Samantha,New Mexico,India,2026-05-12,Small Business
23,Jonathan Williams,anthonynancy@yahoo.com,East Charlesfurt,Wyoming,India,2023-07-08,Small Business
24,David Riley,levinekirsten@king-williams.org,Robbinsshire,South Carolina,India,2025-09-28,Consumer
25,Carrie Dixon,jonesgreg@gonzalez-tran.com,Lake Jonathan,Nebraska,India,2026-01-24,Small Business
26,Corey Ruiz,deniseturner@yahoo.com,Smithbury,Idaho,India,2024-11-09,Consumer
27,Anna Thomas,hartmatthew@hotmail.com,South Maria,Mississippi,India,2023-10-07,Small Business
28,Kenneth Marsh,michaelcain@chang-cabrera.com,Meghanmouth,Maryland,India,2024-12-29,Small Business
29,James Anderson,summersdavid@johnson.com,Samanthaville,Rhode Island,India,2026-03-17,Small Business
30,Jonathon Cox,jessica15@gmail.com,South Abigail,Virginia,India,2025-04-25,Small Business
31,Belinda Terrell,sbarker@vincent-reynolds.com,Lorettaview,Kentucky,India,2025-08-07,Corporate
32,Jermaine Callahan,christopher43@yahoo.com,South Charles,Hawaii,India,2026-03-30,Consumer
33,Jane Brown,combsjessica@holmes.com,East Iantown,Indiana,India,2026-04-26,Corporate
34,Deanna Hill,ygomez@white.com,South Erica,Pennsylvania,India,2023-06-01,Small Business
35,Sandra Williamson,todd24@gmail.com,South Matthew,South Dakota,India,2023-08-13,Corporate
36,Vickie Phillips,romerodeborah@zamora.biz,Huntertown,Florida,India,2026-03-02,Consumer
37,Mr. Ruben Rosales,iford@gmail.com,Lake Joshuamouth,South Dakota,India,2025-11-24,Consumer
38,Monica Medina,mgraham@gmail.com,Rebeccafort,Virginia,India,2024-03-08,Small Business
39,Joshua Suarez,qmorales@hawkins-haynes.com,South David,South Dakota,India,2025-09-11,Corporate
40,Lindsay Carney,john52@tran.info,Whiteshire,Oklahoma,India,2025-12-23,Corporate
41,John Thompson,beardteresa@cruz.com,Petersonfort,Michigan,India,2023-07-30,Corporate
42,Joseph Reynolds,marc50@garza.com,Castrohaven,Vermont,India,2024-03-07,Consumer
43,Jacob Edwards,howelleric@cole.net,Sharpville,Georgia,India,2024-09-11,Consumer
44,Cynthia Walker,xrobinson@zhang-blackwell.biz,Alexanderland,Massachusetts,India,2023-09-09,Corporate
45,Julia Alvarez,michael38@dickson.com,New Emilybury,Indiana,India,2023-09-27,Consumer
46,Stephen Bishop,carrieperkins@yahoo.com,Johnsonside,Mississippi,India,2024-06-21,Consumer
47,Mary Stevenson,hoffmanmichael@smith-warren.com,Port Margaretshire,Delaware,India,2023-11-15,Corporate
48,Adam Hudson,mcgrathcarla@yahoo.com,West Valerieburgh,California,India,2026-03-09,Consumer
49,David Miller,julie78@gmail.com,Port Susan,Michigan,India,2024-09-01,Corporate
50,Joseph Lee,ericksondaniel@underwood.info,North Benjamin,New York,India,2023-08-24,Corporate
51,Victor Dougherty,coopermarcus@smith.info,Lake Annland,New York,India,2023-09-26,Small Business
52,Phillip Krause,curtisgallegos@yahoo.com,North Tanyachester,West Virginia,India,2024-04-09,Corporate
53,Eric Galloway,huertamatthew@yahoo.com,Cruzmouth,Oklahoma,India,2025-06-25,Consumer
54,Adam Weeks,amydaniel@smith.com,West David,Nevada,India,2023-12-26,Small Business
55,Julia Hernandez,tmoore@hotmail.com,Georgeshire,North Dakota,India,2023-09-02,Corporate
56,Alexis Taylor MD,sjensen@hotmail.com,New Brian,Alabama,India,2025-10-30,Small Business
57,Jake Stout,goodwinmichael@ferguson.com,West Janet,Massachusetts,India,2025-03-01,Consumer
58,Todd Jones,aliciatucker@chandler.com,West Kathryn,Alaska,India,2023-05-27,Corporate
59,Jessica Rivera,katherine57@smith.info,New Victoriaport,Louisiana,India,2025-11-16,Consumer
60,Mrs. Alison Macias MD,josephallison@newton-green.com,Penaburgh,Maine,India,2023-11-23,Small Business
61,Timothy Ochoa,csmith@gmail.com,Kevinberg,Kansas,India,2024-08-02,Corporate
62,Dr. Shannon Williams,amanda97@yahoo.com,Barnesborough,South Carolina,India,2026-02-27,Small Business
63,Kari Johnson,bgay@yahoo.com,South Bradleymouth,Georgia,India,2024-08-13,Small Business
64,Lisa Hood,porterandrew@yahoo.com,Johnsonchester,Delaware,India,2023-12-30,Corporate
65,Brandy Silva,ajohnson@ponce.com,North Emilybury,New Hampshire,India,2026-03-15,Small Business
66,Christian Lee,fischershelly@gmail.com,North Bryan,Pennsylvania,India,2024-02-13,Consumer
67,Elizabeth Jones,gregory83@gmail.com,Curryport,Arkansas,India,2026-03-16,Small Business
68,Greg Mullins,crystal29@gmail.com,South David,Arkansas,India,2025-07-24,Consumer
69,Jordan Simpson,fullermichael@hotmail.com,Lorimouth,Maine,India,2026-05-11,Consumer
70,Sylvia Martinez,ajimenez@hotmail.com,West Mary,Ohio,India,2026-03-29,Small Business
71,Zachary Parrish,sydney70@tucker.com,North Bethanystad,Vermont,India,2026-03-25,Consumer
72,Kevin Melendez,williamsonpamela@gmail.com,North Beverlybury,Utah,India,2024-05-31,Corporate
73,David Carlson,lauriemckenzie@yahoo.com,Johnchester,Kentucky,India,2026-04-30,Consumer
74,James Cook,gjenkins@gmail.com,Jameshaven,Illinois,India,2024-12-11,Consumer
75,Kendra Cordova,stephaniemiller@hotmail.com,Pereztown,New Jersey,India,2026-02-08,Consumer
76,John Flynn,lopezveronica@terrell.org,West Wendyview,Connecticut,India,2025-11-23,Corporate
77,Emily Park,lewischristopher@lee-sanders.com,New John,Georgia,India,2024-03-16,Corporate
78,Matthew Smith,stevencrawford@snyder-myers.info,North Karen,Utah,India,2026-02-01,Corporate
79,Thomas Alexander,allenmonica@yahoo.com,Robertport,Connecticut,India,2023-10-21,Small Business
80,Thomas Garrison,hendersonadam@hotmail.com,Timothymouth,Idaho,India,2023-05-31,Corporate
81,Anita Day,watsonsarah@hotmail.com,East Victormouth,Ohio,India,2025-01-22,Consumer
82,Jennifer Brooks,james26@yahoo.com,Port Carol,New Hampshire,India,2023-08-28,Corporate
83,Dillon Martin,hudsonkatie@jones.info,Pedromouth,Alabama,India,2024-07-12,Corporate
84,Patrick Mcclain,xjarvis@gmail.com,West Michaeltown,Indiana,India,2024-12-13,Consumer
85,Bradley Smith,rachel63@aguilar.biz,East Crystal,West Virginia,India,2025-11-22,Small Business
86,Krista Olsen,tony57@hotmail.com,Tiffanymouth,Illinois,India,2025-07-22,Corporate
87,Julia Murillo,ravery@yahoo.com,Williamsborough,Iowa,India,2024-01-10,Small Business
88,Eric Cooke,elizabeth18@yahoo.com,Benjamintown,Alaska,India,2024-07-20,Small Business
89,Connie Ferguson,murphyjohn@huber.info,Gonzalezmouth,Alabama,India,2023-12-30,Small Business
90,Jonathan Shaw,huntermaria@price.com,Port William,Wyoming,India,2025-03-23,Consumer
91,Erin Chan,christopher96@hotmail.com,New Tanner,Missouri,India,2025-11-22,Small Business
92,Randy Taylor,danny26@hotmail.com,Bullockfort,Oklahoma,India,2024-06-10,Small Business
93,Juan Weber,brian50@ray-wallace.org,Lake David,Louisiana,India,2024-11-10,Consumer
94,Rebecca Patton,bailey91@crane.com,East Jeremymouth,Washington,India,2024-10-29,Small Business
95,Kent Moore,vmaldonado@smith.org,Fitzpatrickshire,Michigan,India,2025-10-17,Small Business
96,Nathan Berry,jenningsrobert@robinson-dyer.info,Blakeshire,Arizona,India,2026-04-17,Consumer
97,Emily Jones,brogers@rice-hubbard.com,Harristown,South Dakota,India,2024-03-25,Consumer
98,Tristan Jackson,zachary59@johnson.com,Sparksview,Oklahoma,India,2025-03-16,Corporate
99,Ana White,johnbuckley@gmail.com,West Barbaraton,Hawaii,India,2025-03-22,Corporate
100,Brenda Cook,richard60@elliott-alexander.org,Johnsonburgh,Idaho,India,2024-10-24,Corporate
101,Janice Davis,nicholas11@hotmail.com,Craigside,Connecticut,India,2024-04-24,Small Business
102,Randall Jackson,murphywilliam@gmail.com,Olsonburgh,Rhode Island,India,2024-05-11,Small Business
103,Bonnie Wilson,sotochase@green.com,South Ginaport,Colorado,India,2025-01-25,Small Business
104,Anthony Jones,laurabest@wright.net,West Jeffrey,Iowa,India,2025-12-25,Consumer
105,David Sherman,hannahhayden@west-gallegos.com,Lake Susanfurt,Arizona,India,2025-06-26,Small Business
106,Christina Brown,davidmathews@martin.biz,East George,Pennsylvania,India,2026-01-18,Corporate
107,Ashley Brady,christina65@gmail.com,Murrayton,Tennessee,India,2023-07-26,Consumer
108,James Mccoy,donaldwilliams@yahoo.com,South Melissatown,New York,India,2024-12-04,Consumer
109,Alexandra Davis,smithcarly@dunn.net,Trevorfurt,Nebraska,India,2025-08-22,Consumer
110,Terry Young,kmccoy@hotmail.com,East Carl,Oklahoma,India,2026-02-03,Corporate
111,Joseph Robinson,rsanders@odonnell-sullivan.org,Lake Reginaldton,Hawaii,India,2025-12-27,Corporate
112,Sharon Richardson,gkirby@yahoo.com,New Ianshire,Hawaii,India,2026-05-11,Corporate
113,Nicholas Ellis,kathleennewton@gmail.com,South Jamesview,New York,India,2023-06-30,Consumer
114,Andrew Cross,pearsonveronica@bennett.com,Stephenschester,Nebraska,India,2024-07-30,Consumer
115,Shari Gilbert,nicole29@lopez.com,Frankfort,Kentucky,India,2024-03-13,Small Business
116,Noah Osborne,tsmith@thomas.net,Patrickberg,Mississippi,India,2024-02-24,Small Business
117,Mark Davis,monica06@yahoo.com,West Lisa,Wisconsin,India,2025-08-09,Corporate
118,Jeffrey Cole,jessica37@beltran.com,North Jasmineview,Florida,India,2024-04-15,Consumer
119,Jesus Taylor,andrewpatel@scott.com,Karinafort,Illinois,India,2025-04-16,Small Business
120,Tammy Patrick,nclark@gmail.com,West Juan,Kansas,India,2025-10-29,Corporate
121,Adam Romero,zmay@yahoo.com,Kathleenfort,Florida,India,2025-06-30,Corporate
122,Cathy Kerr,christopher55@hotmail.com,Butlerberg,Delaware,India,2025-09-29,Small Business
123,Amy Conner,coreyhamilton@riddle.biz,Lake Alexis,Mississippi,India,2024-05-01,Corporate
124,Cathy Mays,smithmary@yahoo.com,Port Isaac,North Dakota,India,2024-04-07,Consumer
125,Casey Stewart,nfowler@yahoo.com,Crystalview,Maine,India,2025-06-03,Corporate
126,Sara Clark,sbrown@gmail.com,East Catherinefort,Rhode Island,India,2024-05-13,Consumer
127,Sarah Cannon,conleymarie@hotmail.com,Smithchester,Georgia,India,2024-03-04,Consumer
128,Mrs. Cynthia Benson,cruzkevin@hicks.com,Woodstad,Florida,India,2025-03-10,Small Business
129,Nicole Greene,renee09@gmail.com,Younghaven,Wisconsin,India,2023-07-21,Small Business
